                        chip high  chip low  control high  control low
chrX:273918-274117          102.0     433.0        1949.0       3555.0
chrX:279203-279402          139.0     668.0        2236.0       3688.0
chrX:279644-279843          239.0    1165.0        2940.0       3996.0
chrX:311360-311559          147.0     741.0        2782.0       3639.0
chrX:313547-313746          127.0     733.0        3262.0       2782.0
chrX:316660-316859          154.0     595.0        3092.0       3508.0
chrX:317203-317402          234.0     404.0        2386.0       5047.0
chrX:319691-319890           75.0     352.0        1423.0       2200.0
chrX:320447-320646          124.0     446.0        2762.0       4010.0
chrX:323135-323334           76.0     375.0        1872.0       3046.0
chrX:333741-333940          146.0     617.0        2799.0       4248.0
chrX:337917-338116          106.0    1438.0        2849.0       4377.0
chrX:341024-341223          178.0     546.0        3599.0       4069.0
chrX:355908-356107          124.0     520.0        1302.0       2842.0
chrX:359858-360057          228.0     987.0        2369.0       4710.0
chrX:361685-361884          558.0     680.0        2477.0       3236.0
chrX:371410-371609          204.0     708.0        1645.0       3500.0
chrX:399906-400105          384.0     783.0        3278.0       3993.0
chrX:408181-408380          297.0     921.0        2526.0       4741.0
chrX:413409-413608          203.0   41665.0        3255.0       5822.0
chrX:413421-413620           57.0    1747.0         567.0        668.0
chrX:436320-436519           79.0     341.0         694.0       1686.0
chrX:454979-455178          343.0     987.0        3253.0       4095.0
chrX:455764-455963          186.0     453.0        2656.0       4615.0
chrX:455781-455980           69.0     358.0         611.0        627.0
chrX:464808-465007          713.0    1002.0        3863.0       5674.0
chrX:494772-494971          134.0     619.0        1777.0       3296.0
chrX:504421-504620          172.0     568.0        2478.0       4079.0
chrX:527904-528103          214.0     800.0        2555.0       5043.0
chrX:545446-545645          742.0    7549.0        4310.0       5688.0
chrX:548493-548692          161.0    5224.0        2048.0       3164.0
chrX:557125-557324          536.0     800.0        3354.0       3677.0
chrX:570583-570782          140.0     517.0        1907.0       3714.0
chrX:573315-573514          400.0    1182.0        4112.0       4066.0
chrX:575417-575616          207.0     712.0        3313.0       4998.0
chrX:580766-580965          286.0     822.0        2822.0       3425.0
chrX:608962-609161         1058.0     876.0        3946.0       5456.0
chrX:628685-628884          181.0     817.0        3249.0       4297.0
chrX:639073-639272          119.0     676.0        2443.0       3367.0
chrX:647022-647221          181.0     628.0        2106.0       3765.0
chrX:683486-683685          220.0    1850.0        3183.0       5092.0
chrX:683515-683714           68.0     511.0         777.0       1157.0
chrX:684332-684531          107.0     472.0        1471.0       4299.0
chrX:690653-690852          429.0    1138.0        3711.0       5905.0
chrX:703702-703901          439.0   12647.0        3844.0       3415.0
chrX:710111-710310          133.0     724.0        2115.0       3050.0
chrX:721407-721606          322.0     769.0        2242.0       4364.0
chrXI:8054-8253              68.0     378.0         449.0        533.0
chrXI:44643-44842           211.0     349.0         450.0        537.0
chrXI:66932-67131           166.0     348.0         455.0        551.0
chrXI:67654-67853           126.0     354.0         441.0        555.0
chrXI:80619-80818            64.0     352.0         431.0        549.0
chrXI:82489-82688           119.0     359.0         435.0        539.0
chrXI:100624-100823         381.0     386.0         441.0        544.0
chrXI:113496-113695         133.0     395.0         437.0        534.0
chrXI:118125-118324          85.0     385.0         427.0        610.0
chrXI:121259-121458          83.0     372.0        1222.0       1649.0
chrXI:126430-126629         189.0     390.0        2226.0       2576.0
chrXI:126562-126761         196.0     386.0        2200.0       2791.0
chrXI:143560-143759         292.0     370.0        1668.0       3273.0
chrXI:147533-147732         117.0     373.0        2073.0       3204.0
chrXI:150437-150636         130.0     384.0        2588.0       2831.0
chrXI:154613-154812         211.0     377.0        3011.0       5317.0
chrXI:182548-182747          70.0     358.0         894.0       2225.0
chrXI:194709-194908         143.0     356.0        2352.0       3390.0
chrXI:195829-196028          91.0     383.0        3124.0       5046.0
chrXI:199755-199954          71.0     380.0        1953.0       3341.0
chrXI:202304-202503          76.0     362.0        1405.0       3211.0
chrXI:206807-207006         110.0     345.0        3547.0       3759.0
chrXI:206942-207141          93.0     334.0        1712.0       2896.0
chrXI:216560-216759          92.0     329.0        2666.0       3633.0
chrXI:221517-221716         100.0     312.0        3177.0       4206.0
chrXI:230827-231026         186.0     295.0        2013.0       2961.0
chrXI:233342-233541         186.0     280.0        3188.0       3650.0
chrXI:274730-274929         164.0     277.0        2544.0       3592.0
chrXI:277794-277993         121.0     274.0        2965.0       5207.0
chrXI:279335-279534         224.0     403.0        2167.0       4204.0
chrXI:289183-289382         167.0     485.0        3010.0       3761.0
chrXI:319644-319843         115.0     371.0        2732.0       3799.0
chrXI:340320-340519         165.0     691.0        3087.0       4466.0
chrXI:342105-342304         165.0    5397.0        3074.0       3817.0
chrXI:408153-408352         120.0     429.0        2367.0       3051.0
chrXI:408164-408363          59.0     300.0         432.0        625.0
chrXI:408182-408381          67.0     307.0         478.0        795.0
chrXI:426574-426773         320.0     564.0        3489.0       5253.0
chrXI:429022-429221         455.0     808.0        4058.0       4929.0
chrXI:429038-429237          89.0     377.0         676.0        650.0
chrXI:439510-439709         257.0     505.0        2913.0       4203.0
chrXI:462547-462746         225.0     830.0        2655.0       4927.0
chrXI:487927-488126         310.0     952.0        3759.0       3920.0
chrXI:506886-507085         291.0    1500.0        2403.0       4320.0
chrXI:524473-524672         356.0    1454.0        3681.0       4300.0
chrXI:526976-527175         248.0    3081.0        2867.0       3847.0
chrXI:544156-544355         177.0     546.0        2221.0       3420.0
chrXI:546106-546305         153.0     470.0        2079.0       2883.0
chrXI:551139-551338         263.0     735.0        2522.0       4431.0
chrXI:558706-558905        1098.0    1701.0        3850.0       4229.0
chrXI:562035-562234         363.0     703.0        3065.0       3335.0
chrXI:568817-569016         220.0     632.0        2522.0       3559.0
chrXI:571246-571445          95.0     380.0        1364.0       3480.0
chrXI:577228-577427         212.0     523.0        2136.0       2952.0
chrXI:578504-578703         176.0     383.0        2629.0       2816.0
chrXI:587849-588048         197.0     376.0        2320.0       3685.0
chrXI:610771-610970         267.0     480.0        2597.0       4293.0
chrXI:634779-634978         191.0     477.0        2508.0       4072.0
chrXI:645873-646072         151.0     778.0        2317.0       3594.0
chrXII:2132-2331             72.0     266.0         389.0        557.0
chrXII:7667-7866             68.0     250.0         399.0        568.0
chrXII:22516-22715          160.0     249.0         381.0        580.0
chrXII:29257-29456          140.0     229.0         394.0        581.0
chrXII:72591-72790           91.0     226.0         406.0        574.0
chrXII:100759-100958        151.0     225.0         399.0        583.0
chrXII:127537-127736        137.0     218.0         383.0        571.0
chrXII:128676-128875         93.0     210.0         394.0        556.0
chrXII:130897-131096        182.0     223.0         406.0        559.0
chrXII:130920-131119         55.0     224.0         416.0        536.0
chrXII:140774-140973         81.0     232.0         411.0        572.0
chrXII:150842-151041         53.0     219.0         403.0        563.0
chrXII:172852-173051        140.0     209.0         383.0       1779.0
chrXII:191240-191439        121.0     178.0        1673.0       3041.0
chrXII:205539-205738         96.0     202.0        2335.0       4005.0
chrXII:228395-228594        141.0     217.0        2581.0       3262.0
chrXII:240807-241006        127.0     207.0        3004.0       4107.0
chrXII:246005-246204        169.0     184.0        3507.0       3444.0
chrXII:256913-257112        136.0     186.0        2585.0       3862.0
chrXII:258541-258740        315.0     196.0        3491.0       3700.0
chrXII:260246-260445        376.0     239.0        2971.0       4236.0
chrXII:262080-262279        222.0     202.0        2882.0       4868.0
chrXII:266870-267069        257.0     205.0        2768.0       3780.0
chrXII:289654-289853         84.0     206.0        2291.0       2113.0
chrXII:302119-302318        171.0     221.0        2124.0       2885.0
chrXII:323112-323311        151.0     216.0        2798.0       5207.0
chrXII:323138-323337         56.0     228.0         591.0        932.0
chrXII:342843-343042         81.0     222.0        2319.0       3320.0
chrXII:377598-377797        133.0     234.0        2153.0       5234.0
chrXII:389205-389404        160.0     237.0        3434.0       3077.0
chrXII:391094-391293        112.0     255.0        3357.0       4093.0
chrXII:416953-417152        217.0    1259.0        3560.0       3251.0
chrXII:424360-424559        225.0    1281.0        3811.0       3460.0
chrXII:424371-424570         86.0     324.0         591.0        806.0
chrXII:439934-440133        147.0     339.0        2780.0       4400.0
chrXII:470617-470816         61.0     261.0         397.0        482.0
chrXII:472309-472508         64.0     262.0         383.0        488.0
chrXII:474269-474468         70.0     255.0         398.0        490.0
chrXII:481889-482088         61.0     221.0         415.0        497.0
chrXII:483849-484048         57.0     225.0         407.0        508.0
chrXII:485541-485740         62.0     256.0         405.0        513.0
chrXII:487501-487700         69.0     260.0         425.0        494.0
chrXII:489193-489392         66.0     250.0         430.0        499.0
chrXII:490521-490720        107.0     357.0        2107.0       2422.0
chrXII:491279-491478        118.0     526.0        2031.0       3508.0
chrXII:491578-491777        121.0     411.0        1968.0       2243.0
chrXII:504143-504342        312.0     693.0        4051.0       4767.0
chrXII:551112-551311        218.0     766.0        2678.0       3527.0
chrXII:608412-608611        157.0     625.0        1757.0       4556.0
chrXII:635790-635989        363.0     820.0        2779.0       4194.0
chrXII:636428-636627        117.0     958.0        1789.0       2023.0
chrXII:647835-648034        212.0     450.0        2507.0       4150.0
chrXII:658629-658828        153.0    1007.0        1804.0       3477.0
chrXII:677677-677876        244.0    5241.0        3138.0       2957.0
chrXII:704625-704824        332.0     942.0        3033.0       3315.0
chrXII:728803-729002        138.0     701.0        2339.0       4391.0
chrXII:730530-730729        746.0    1202.0        3027.0       4373.0
chrXII:732144-732343        817.0    2198.0        3198.0       4232.0
chrXII:738282-738481        534.0     883.0        3060.0       4627.0
chrXII:746007-746206        220.0     788.0        2473.0       4056.0
chrXII:761404-761603        149.0     759.0        2625.0       5912.0
chrXII:776930-777129        279.0     663.0        2820.0       3758.0
chrXII:832869-833068        336.0     636.0        2007.0       3869.0
chrXII:836055-836254        212.0    1002.0        2113.0       2530.0
chrXII:842463-842662        198.0     704.0        1497.0       3711.0
chrXII:875913-876112        396.0    1259.0        3031.0       3929.0
chrXII:890603-890802        230.0     688.0        2208.0       3007.0
chrXII:892175-892374        211.0    1026.0        3099.0       3156.0
chrXII:902441-902640        320.0     952.0        2780.0       4899.0
chrXII:912887-913086        204.0     742.0        2779.0       3343.0
chrXII:917175-917374        200.0    1028.0        2357.0       2401.0
chrXII:920016-920215        323.0    1096.0        2177.0       3838.0
chrXII:937288-937487        137.0     716.0        1288.0       2777.0
chrXII:949794-949993        367.0    1114.0        3542.0       3817.0
chrXII:956936-957135        241.0     864.0        2406.0       3420.0
chrXII:988221-988420        191.0     833.0        2072.0       3984.0
chrXII:996850-997049        194.0     703.0        1714.0       4518.0
chrXII:1028822-1029021      325.0    1256.0        2809.0       5489.0
chrXII:1069487-1069686       55.0     525.0         304.0        554.0
chrXII:1076150-1076349       51.0     535.0         316.0        545.0
chrXIII:2008-2207            49.0     522.0         314.0        512.0
chrXIII:26111-26310         197.0     567.0         323.0        490.0
chrXIII:26133-26332          85.0     585.0         326.0        507.0
chrXIII:26577-26776          64.0     605.0         323.0        496.0
chrXIII:30262-30461         146.0     607.0         329.0        504.0
chrXIII:30273-30472          60.0     593.0         332.0        492.0
chrXIII:41126-41325         190.0     597.0         344.0        474.0
chrXIII:44403-44602         174.0     604.0         346.0        483.0
chrXIII:47004-47203         138.0     560.0         355.0        509.0
chrXIII:55989-56188         148.0     570.0         342.0        512.0
chrXIII:57923-58122         133.0     564.0         351.0        528.0
chrXIII:96215-96414         138.0     539.0         818.0        527.0
chrXIII:109682-109881       132.0     555.0        2279.0       3398.0
chrXIII:148129-148328       129.0     531.0        3121.0       3037.0
chrXIII:161365-161564       184.0     555.0        2446.0       4485.0
chrXIII:161703-161902       113.0     540.0        3250.0       4136.0
chrXIII:175713-175912       118.0     516.0        2810.0       4019.0
chrXIII:180826-181025        82.0     511.0        1788.0       3240.0
chrXIII:209106-209305       104.0     518.0        1565.0       1750.0
chrXIII:222790-222989       227.0     521.0        1351.0       2448.0
chrXIII:234095-234294       132.0     521.0        1899.0       3664.0
chrXIII:236201-236400        60.0     520.0        1681.0       3325.0
chrXIII:237641-237840       195.0     541.0        3169.0       4437.0
chrXIII:253868-254067       160.0     529.0        3210.0       4062.0
chrXIII:263168-263367        81.0     761.0        2579.0       3603.0
chrXIII:272687-272886        60.0     539.0        1372.0       3582.0
chrXIII:275342-275541       141.0    1847.0        3254.0       4586.0
chrXIII:287293-287492       183.0    1531.0        2723.0       3370.0
chrXIII:293935-294134       148.0     977.0        2424.0       4532.0
chrXIII:332596-332795       123.0     855.0        2481.0       3684.0
chrXIII:338548-338747        69.0     560.0        2619.0       4202.0
chrXIII:347341-347540       201.0    1458.0        3105.0       4248.0
chrXIII:390515-390714       254.0    1870.0        3281.0       5379.0
chrXIII:391919-392118       106.0     727.0        2536.0       4363.0
chrXIII:418050-418249        71.0     521.0        1198.0       2400.0
chrXIII:434327-434526       185.0    1693.0        4360.0       4273.0
chrXIII:446074-446273       193.0     834.0        2989.0       3854.0
chrXIII:451031-451230        78.0     596.0        2235.0       3645.0
chrXIII:467040-467239        79.0     999.0        2278.0       3501.0
chrXIII:470973-471172       182.0     904.0        2191.0       3078.0
chrXIII:471421-471620       140.0     602.0        1743.0       3393.0
chrXIII:511757-511956       664.0    1820.0        2172.0       5231.0
chrXIII:529255-529454       185.0     760.0        1698.0       3649.0
chrXIII:546880-547079       192.0     592.0        2343.0       4250.0
chrXIII:579146-579345       236.0     606.0        2388.0       5486.0
chrXIII:592875-593074       187.0    1585.0        2776.0       3473.0
chrXIII:618928-619127       238.0     873.0        2531.0       4273.0
chrXIII:635783-635982       177.0    1013.0        2367.0       3903.0
chrXIII:651461-651660       589.0    1039.0        2426.0       5017.0
chrXIII:653000-653199       428.0    2895.0        3092.0       3345.0
chrXIII:654486-654685       197.0    1070.0        2560.0       4338.0
chrXIII:689157-689356       155.0    2077.0        2604.0       3741.0
chrXIII:701252-701451        60.0     782.0        1674.0       2541.0
chrXIII:720376-720575       202.0     793.0        2618.0       4679.0
chrXIII:773764-773963       375.0   12576.0        2913.0       4309.0
chrXIII:777580-777779       202.0    4848.0        2504.0       4942.0
chrXIII:777754-777953       173.0    1683.0        1866.0       3152.0
chrXIII:779496-779695        68.0     461.0        1319.0       2660.0
chrXIII:780217-780416       136.0     410.0        1978.0       2495.0
chrXIII:797620-797819       310.0     800.0        2678.0       4846.0
chrXIII:807725-807924       256.0     625.0        2613.0       3942.0
chrXIII:817674-817873       219.0     629.0        2939.0       4034.0
chrXIII:825272-825471       223.0     480.0        2110.0       3661.0
chrXIII:852135-852334       144.0    4838.0        2171.0       3321.0
chrXIII:863926-864125       207.0     865.0        2134.0       4552.0
chrXIII:869685-869884       154.0     624.0        2748.0       3657.0
chrXIII:875014-875213       541.0     435.0        2891.0       4279.0
chrXIII:892151-892350       323.0     494.0        3652.0       5405.0
chrXIII:898463-898662       240.0     545.0        3756.0       4995.0
chrXIII:915881-916080       172.0     615.0        1780.0       2929.0
chrXIV:1915-2114             67.0     803.0         411.0        544.0
chrXIV:33465-33664          278.0     829.0         398.0        554.0
chrXIV:86319-86518          152.0     853.0         403.0        603.0
chrXIV:107254-107453        283.0     854.0         420.0        610.0
chrXIV:116704-116903        147.0     837.0         427.0        592.0
chrXIV:116898-117097        128.0     861.0         618.0       1399.0
chrXIV:126223-126422        165.0     866.0         428.0        580.0
chrXIV:138764-138963        211.0     868.0         427.0        612.0
chrXIV:157903-158102         87.0    1071.0         451.0        618.0
chrXIV:161978-162177         84.0    1015.0         555.0        607.0
chrXIV:164317-164516        111.0     922.0        1380.0       2365.0
chrXIV:166452-166651        151.0     933.0        2377.0       3301.0
chrXIV:194916-195115         67.0     960.0        2154.0       3385.0
chrXIV:199114-199313        162.0    1013.0        3704.0       3966.0
chrXIV:214656-214855        144.0    1011.0        1837.0       2751.0
chrXIV:217476-217675        214.0    1003.0        3289.0       3377.0
chrXIV:219813-220012        124.0    1008.0        2083.0       3722.0
chrXIV:220630-220829        137.0    1014.0        2817.0       4353.0
chrXIV:226950-227149        204.0     974.0        2416.0       4000.0
chrXIV:233792-233991        139.0    1006.0        2913.0       6127.0
chrXIV:240969-241168        303.0    1030.0        3572.0       4513.0
chrXIV:301708-301907        204.0    1029.0        2771.0       4527.0
chrXIV:328649-328848        135.0    1079.0        2695.0       4863.0
chrXIV:328979-329178         82.0    1088.0        2560.0       4244.0
chrXIV:335147-335346         99.0    1112.0        2314.0       3159.0
chrXIV:350054-350253        332.0    1474.0        3227.0       3109.0
chrXIV:352830-353029        162.0    1425.0        3133.0       3349.0
chrXIV:371852-372051        240.0    2191.0        3238.0       4297.0
chrXIV:391390-391589        152.0    1606.0        2089.0       2740.0
chrXIV:393767-393966         99.0    1381.0        2707.0       2982.0
chrXIV:395434-395633        245.0    1546.0        2385.0       3109.0
chrXIV:423563-423762         83.0    1335.0        2256.0       3678.0
chrXIV:427307-427506        148.0    1886.0        3631.0       3686.0
chrXIV:447076-447275        199.0    1601.0        2853.0       3978.0
chrXIV:478110-478309        290.0    2719.0        2849.0       4057.0
chrXIV:490669-490868        400.0    1640.0        3174.0       3899.0
chrXIV:507412-507611        107.0    2094.0        2236.0       4200.0
chrXIV:538185-538384        446.0    1322.0        3244.0       4386.0
chrXIV:540391-540590         96.0    1358.0        2859.0       4407.0
chrXIV:546031-546230        168.0    2719.0        2607.0       4254.0
chrXIV:559296-559495        454.0    2559.0        5342.0       6072.0
chrXIV:559359-559558        191.0    1461.0        1834.0       1524.0
chrXIV:559379-559578        102.0    1299.0         903.0       1073.0
chrXIV:586575-586774        313.0    1984.0        2850.0       4484.0
chrXIV:608950-609149        386.0    1637.0        3130.0       4513.0
chrXIV:617688-617887        161.0    1486.0        2417.0       5307.0
chrXIV:623520-623719        679.0    1559.0        4055.0       4342.0
chrXIV:623589-623788         67.0    1151.0        1079.0       2022.0
chrXIV:628662-628861        117.0    1138.0        1289.0       2484.0
chrXIV:651810-652009        109.0    1411.0        2104.0       2582.0
chrXIV:660638-660837        371.0    2004.0        2708.0       5293.0
chrXIV:665002-665201        238.0    1493.0        2134.0       3237.0
chrXIV:687678-687877        210.0    1317.0        3036.0       4138.0
chrXIV:689692-689891        203.0    2067.0        2555.0       3765.0
chrXIV:701275-701474        234.0    2244.0        3289.0       4062.0
chrXIV:702863-703062        370.0    1277.0        2928.0       3664.0
chrXIV:719087-719286        200.0    1801.0        2852.0       3747.0
chrXIV:728219-728418         97.0    3609.0        1548.0       3006.0
chrXIV:739006-739205        264.0    2346.0        3142.0       3840.0
chrXV:3062-3261              65.0    1147.0         456.0        520.0
chrXV:7564-7763             275.0    1195.0         454.0        514.0
chrXV:27407-27606            89.0    1235.0         446.0        514.0
chrXV:33188-33387           193.0    1241.0         443.0        528.0
chrXV:50347-50546            91.0    1305.0         442.0        512.0
chrXV:69207-69406           269.0    1379.0         438.0        517.0
chrXV:75767-75966           147.0    1403.0         427.0        519.0
chrXV:102037-102236         138.0    1417.0         405.0        519.0
chrXV:106787-106986         112.0    1440.0         388.0        531.0
chrXV:109441-109640         371.0    1470.0         385.0        647.0
chrXV:128225-128424         102.0    1547.0        2095.0       2779.0
chrXV:128729-128928         117.0    1583.0        4084.0       4781.0
chrXV:138342-138541         127.0    1604.0        2493.0       3830.0
chrXV:187211-187410         206.0    1615.0        2499.0       4017.0
chrXV:207208-207407         124.0    1683.0        2469.0       5492.0
chrXV:217592-217791         416.0    1752.0        2798.0       5028.0
chrXV:221450-221649         295.0    1838.0        3255.0       5574.0
chrXV:232633-232832         230.0    1848.0        3926.0       6123.0
chrXV:260213-260412         145.0    1911.0        1797.0       3215.0
chrXV:287396-287595         251.0    1949.0        3191.0       4720.0
chrXV:326597-326796          80.0    1999.0         919.0       1196.0
chrXV:328463-328662         223.0    2017.0        3682.0       5326.0
chrXV:329701-329900         204.0    2062.0        3581.0       5003.0
chrXV:357545-357744         108.0    2132.0        2103.0       3290.0
chrXV:389279-389478         112.0    2184.0        1562.0       3018.0
chrXV:405189-405388         125.0    2330.0        2842.0       3775.0
chrXV:411853-412052         130.0    2691.0        3589.0       4611.0
chrXV:430056-430255         124.0    2433.0        2511.0       3699.0
chrXV:446788-446987         338.0    3950.0        2889.0       4154.0
chrXV:511041-511240         132.0    2614.0        3112.0       4357.0
chrXV:511286-511485         122.0    2389.0        2884.0       5837.0
chrXV:511371-511570         109.0    2545.0        1555.0       2384.0
chrXV:525934-526133          89.0    2461.0        2085.0       3371.0
chrXV:579385-579584         123.0    2781.0        2844.0       4082.0
chrXV:585687-585886         172.0    2792.0        2206.0       3383.0
chrXV:589987-590186         172.0    2563.0        2374.0       3342.0
chrXV:604980-605179         380.0    2599.0        2916.0       4191.0
chrXV:613249-613448         406.0    2827.0        3460.0       3990.0
chrXV:614152-614351         268.0    2582.0        2333.0       2881.0
chrXV:618352-618551         160.0    2588.0        1770.0       3419.0
chrXV:628472-628671         241.0    2589.0        2212.0       3585.0
chrXV:628961-629160         127.0    2672.0        3095.0       4776.0
chrXV:642495-642694         155.0    7683.0        2368.0       4373.0
chrXV:642689-642888         146.0    2760.0        2676.0       5128.0
chrXV:677585-677784         343.0    2943.0        3582.0       3493.0
chrXV:684238-684437         257.0    2621.0        2926.0       4037.0
chrXV:697796-697995          84.0    2404.0        1004.0       2766.0
chrXV:766777-766976         150.0    2462.0        1970.0       3365.0
chrXV:770174-770373         310.0    3801.0        3161.0       4951.0
chrXV:777015-777214         298.0    2585.0        2431.0       2969.0
chrXV:777239-777438         247.0    2607.0        3523.0       3544.0
chrXV:821583-821782         105.0    2417.0        2044.0       2701.0
chrXV:830797-830996          93.0    2441.0        1699.0       2487.0
chrXV:833787-833986         243.0    2708.0        3040.0       3765.0
chrXV:866146-866345         114.0    2525.0        2465.0       4821.0
chrXV:878088-878287         249.0    2583.0        3751.0       4881.0
chrXV:882001-882200         537.0    3056.0        4483.0       4349.0
chrXV:886112-886311         211.0    2362.0        2427.0       2707.0
chrXV:893898-894097         244.0    2604.0        1755.0       3000.0
chrXV:894131-894330         124.0    2278.0        1263.0       2659.0
chrXV:911972-912171         415.0   14957.0        2619.0       4038.0
chrXV:916926-917125         169.0    2357.0        2701.0       4341.0
chrXV:919005-919204         277.0    2618.0        2132.0       3875.0
chrXV:979000-979199         581.0   16011.0        2982.0       5035.0
chrXV:979155-979354         307.0   39877.0        1974.0       2832.0
chrXV:986628-986827         204.0    2252.0        1995.0       3117.0
chrXV:1017722-1017921       243.0    2343.0        1834.0       2759.0
chrXV:1025790-1025989       250.0    2129.0        2691.0       4281.0
chrXV:1029633-1029832       374.0    2397.0        2548.0       3704.0
chrXV:1044311-1044510       286.0    2275.0        4371.0       5401.0
chrXV:1045718-1045917       171.0    2192.0        2456.0       3935.0
chrXV:1049179-1049378       278.0    2194.0        3030.0       3333.0
chrXV:1069290-1069489       160.0    1824.0        2417.0       3547.0
chrXV:1071872-1072071        51.0    1716.0         588.0        690.0
chrXV:1089115-1089314        55.0    1693.0         338.0        446.0
chrXVI:1824-2023             57.0    1647.0         338.0        462.0
chrXVI:18799-18998           74.0    1571.0         339.0        475.0
chrXVI:23732-23931          456.0    1523.0         344.0        497.0
chrXVI:46363-46562          122.0    1482.0         348.0        515.0
chrXVI:47352-47551          124.0    1442.0         363.0        521.0
chrXVI:69285-69484          175.0    1402.0         358.0        533.0
chrXVI:74984-75183          247.0    1380.0         349.0        504.0
chrXVI:75385-75584          456.0    1381.0         358.0        494.0
chrXVI:86515-86714          242.0    1302.0         351.0        511.0
chrXVI:87624-87823          157.0    1251.0         342.0        496.0
chrXVI:102928-103127         83.0    1252.0         354.0        510.0
chrXVI:133040-133239        292.0    1268.0        1663.0        570.0
chrXVI:139064-139263        132.0    1247.0        2950.0       3120.0
chrXVI:163087-163286        173.0    1229.0        2419.0       3685.0
chrXVI:163670-163869        144.0    1210.0        2469.0       3453.0
chrXVI:167766-167965         90.0    1184.0        2026.0       2871.0
chrXVI:187857-188056        104.0    1167.0        2281.0       4465.0
chrXVI:188679-188878        222.0    1154.0        2901.0       4623.0
chrXVI:215360-215559        158.0    1202.0        2203.0       2910.0
chrXVI:226397-226596        115.0    1222.0        2463.0       2958.0
chrXVI:227780-227979        127.0    1214.0        2724.0       3267.0
chrXVI:248118-248317        158.0    1214.0        3226.0       4728.0
chrXVI:249584-249783        261.0    1194.0        2973.0       3851.0
chrXVI:264776-264975         96.0    1125.0        1651.0       3906.0
chrXVI:291136-291335        144.0    1126.0        2570.0       3460.0
chrXVI:318360-318559         92.0    1122.0        1961.0       3243.0
chrXVI:345121-345320        184.0    2451.0        2318.0       3870.0
chrXVI:358861-359060         83.0    1322.0        2420.0       3507.0
chrXVI:363310-363509         69.0    1188.0        1454.0       2792.0
chrXVI:366625-366824        119.0    1369.0        3309.0       4688.0
chrXVI:369188-369387        159.0    1676.0        2679.0       4674.0
chrXVI:370304-370503        114.0    1469.0        3056.0       5059.0
chrXVI:385874-386073        188.0    1249.0        2820.0       4304.0
chrXVI:394575-394774        134.0    1197.0        1854.0       3110.0
chrXVI:425246-425445        367.0    2296.0        3461.0       3169.0
chrXVI:425306-425505        233.0    1214.0         993.0       1298.0
chrXVI:453591-453790        401.0   23275.0        2981.0       2774.0
chrXVI:455928-456127        290.0    1242.0        3276.0       4508.0
chrXVI:461608-461807        165.0    1430.0        2408.0       4783.0
chrXVI:481157-481356        209.0    1449.0        1756.0       2673.0
chrXVI:496720-496919        220.0    1177.0        2722.0       3880.0
chrXVI:509075-509274        237.0    1491.0        3110.0       3348.0
chrXVI:517226-517425        528.0  116306.0        3790.0       5870.0
chrXVI:517260-517459        124.0    7319.0         775.0       1671.0
chrXVI:527892-528091        116.0    1771.0        3078.0       4198.0
chrXVI:542171-542370        334.0    1226.0        4044.0       5011.0
chrXVI:550983-551182        361.0    1379.0        2917.0       4710.0
chrXVI:560722-560921         89.0     991.0         988.0       2025.0
chrXVI:571502-571701         94.0    1019.0        1668.0       3457.0
chrXVI:573102-573301        367.0    1796.0        3554.0       6413.0
chrXVI:582093-582292       1289.0    3361.0        2640.0       3174.0
chrXVI:632616-632815        194.0    1067.0        3806.0       5732.0
chrXVI:640101-640300        381.0    2047.0        3819.0       4552.0
chrXVI:641270-641469        613.0   18418.0        2966.0       5068.0
chrXVI:645022-645221        431.0    1573.0        3927.0       4159.0
chrXVI:656755-656954        161.0    1392.0        2822.0       5616.0
chrXVI:709790-709989        192.0     928.0        2340.0       2507.0
chrXVI:719652-719851        484.0    1314.0        2749.0       3821.0
chrXVI:731872-732071        435.0    1824.0        3438.0       4428.0
chrXVI:738597-738796        150.0     838.0        1476.0       3784.0
chrXVI:792928-793127        368.0    1688.0        2827.0       5741.0
chrXVI:832660-832859        198.0     835.0        2955.0       3823.0
chrXVI:840429-840628        334.0    1272.0        3239.0       3703.0
chrXVI:850449-850648        134.0     795.0        2311.0       3795.0
chrXVI:870750-870949        128.0    1023.0        2864.0       4939.0
chrXVI:877707-877906        102.0     731.0        1711.0       3141.0
chrXVI:885761-885960        193.0     753.0        2839.0       3854.0
chrXVI:906773-906972        131.0     732.0        1836.0       2907.0
chrXVI:927331-927530        338.0    1370.0        2078.0       3004.0
chrXVI:928431-928630         99.0    1483.0        1579.0       2677.0
chrXVI:937691-937890        166.0    1053.0        2643.0       3283.0
chrXVI:939474-939673        179.0     825.0        2890.0       4488.0
chrXVI:945848-946047         51.0     599.0         365.0        487.0
chrM:16304-16503             49.0     596.0         351.0        509.0
chrM:20329-20528             50.0     602.0         355.0        517.0
